@Begin
@Name of CHI:          Yiu Chun-li
@Birth of CHI:         14-Jun-1989
@Sex of CHI:           Female
@Tape Location:        12
@Date:                 13-Aug-1992
@Time Duration:        10:30-11:30
@Age of CHI:           3;1.30
@Participants:         INV investigator, CHI child, SIS elder sister, MOT mother, BRO elder brother
@Situation:   At the child's home watching the child's brother playing TV games.
*MOT:   §A ¶¼ ªM ¤ô &a1.
%mor:   nnpr vt cl nn sfp.
*INV:   ¦n &a1, ¦n &a1, ­ø¸Ó.
%mor:   adj sfp adj sfp ex.
*CHI:   ©O ø ÅÜ ºµ¿ß &lo1.
%mor:   det cl vt nn sfp.
*INV:   Ãä ­Ó ÅÜ ºµ¿ß &a3 ?
%mor:   wh cl vt nn sfp.
*CHI:   ©O «× &a3.
%mor:   det cl sfp.
*INV:   ¨k¥J ©w ¤k¥J &a3 ?
%mor:   nn conj nn sfp.
*INV:   Ãä ­Ó &a3 ?
%mor:   wh cl sfp.
*INV:   «§ ¦â ÀY¾v õ ­Ó &a3 ?
%mor:   wh nn nn det cl sfp.
*CHI:   õ ­Ó<¨k¥J> [>] +/.
%mor:   det cl nn.
*SIS:   <§Ú ¥Î õ ­Ó> µµ ¦â ÀY¾v [<].
%mor:   nnpr vt det cl adj nn nn.
*CHI:   µµ ¦â ÀY¾v &ga3.
%mor:   adj nn nn sfp.
*INV:   &o5.
%mor:   ex.
*SIS:   ¦n ±o·N &ga3.
%mor:   advi adj sfp.
*INV:   ¦n ±o·N &ga4 ?
%mor:   advi adj sfp.
*CHI:   ÀY¥ı +/.
%mor:   advs.
*SIS:   ¦³ ¤@ ­Ó ¤H ©O ·| ÅÜ ºµ¿ß &ga3, ²O <ø ¤ô ¸¨ ¥h ´N ·| ÅÜ &ga3 &a3> [>].
%mor:   vf q cl nn sfp aux vt nn sfp vt cl nn dir dir advf aux vt sfp sfp.
*CHI:   <<ÀY, ÀY¥ı> [//] ÀY §Ú> &e3 ª± ªi°Ê¤G &a3 ÀY¥ı [<].
%mor:   nn advs nn nnpr ex vt nnpp sfp advs.
*INV:   §A Ëİ ¥{ &a4 ?
%mor:   nnpr advi adj sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ÃÑ ­ø ÃÑ ª± &a3 ?
%mor:   vt neg vt vt sfp.
*CHI:   &e6:.
%mor:   ex.
*INV:   ´X ¦h ¤À &a3 ª± ¨ì ?
%mor:   wh adj cl sfp vt ctc.
*SIS:   ¦nÏ.
%mor:   ex.
%exp:   The child's brother wins a game.
*CHI:   <&e6:> [>].
%mor:   ex.
*SIS:   <Ä¹ ÷> &la3 [<].
%mor:   vi asp sfp.
*INV:   ¦n °ª ¤À - ?
%mor:   advi adj cl.
*CHI:   «Y &laak3.
%mor:   vf sfp.
*INV:   «Y «§ ?
%mor:   vf sfp.
*SIS:   §A ¦A ‘Á ¹L ¥ı, ­ø ±o.
%mor:   nnpr advf dir prt advf neg ctc.
*BRO:   °µ ÉA ®A ?
%mor:   vt wh sfp.
*SIS:   §A, <§A ­ø Ä¹> [>].
%mor:   nnpr nnpr neg vi.
*CHI:   <¦A ‘Á ¹L> &a3 [<] !
%mor:   advf dir prt sfp.
*CHI:   ¤S ¦A ¦A ‘Á ¹L &a3 !
%mor:   advf advf advf dir prt sfp.
*SIS:   §Ú Áé·N &a1 &ma3.
%mor:   nnpr vt sfp sfp.
*BRO:   <§Ú À° §A ·d &la1> [>].
%mor:   nnpr vt nnpr vt sfp.
*SIS:   <±ğ «Y ­n ¦A ‘Á ¹L &la1> [<].
%mor:   advf vf vt advf dir prt sfp.
*SIS:   <§Ú> [/] §Ú ÃÑ &ga3, §Ú ÃÑ &ga3.
%mor:   nnpr nnpr vt sfp nnpr vt sfp.
*BRO:   &o3, ¶} ¾÷.
%mor:   ex vt nn.
*INV:   §A ¤S ª± &a4 ?
%mor:   nnpr advf vt sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*BRO:   ©O ­Ó «Y &la3.
%mor:   det cl vf sfp.
%exp:   The child's brother loads a new game for the child and the sister to play.
*SIS:   &i2:.
%mor:   ex.
*BRO:   ¤£¦p ª± ¼Ò«¬ &la1.
%mor:   advs vt nn sfp.
*SIS:   §Ú [/] §Ú ¦Û¤v &gam2.
%mor:   nnpr nnpr rfl  xx.
*BRO:   &o3, ÉN &la3.
%mor:   ex neg sfp.
%exp:   The game finishes.
*SIS:   ¦A ‘Á ¹L ¥ı.
%mor:   advf dir prt advf.
*BRO:   &i2, ª± ¾÷ &la1 §A ª± ¨ì.
%mor:   ex vt nn sfp nnpr vt ctc.
*SIS:   «Y &a3.
%mor:   vf sfp.
*BRO:   xxx §A ª±.
%mor:   nnpr vt.
*BRO:   ©O ­Ó.
%mor:   det cl.
*BRO:   §A ÃÑ ­ø ÃÑ ¥Î ºµ¿ß ©O ?
%mor:   nnpr vt neg vt vt nn sfp.
*SIS:   ­ø ÃÑ.
%mor:   neg vt.
*BRO:   ­ø ¦n å, ­ø «Y  -:.
%mor:   neg adj vt neg vf.
*INV:   ÂI¼Ë ª± &ga3 ?
%mor:   wh vt sfp.
*INV:   §A ±Ğ §Ú &a1, ÂI¼Ë &a3 ?
%mor:   nnpr vt nnpr sfp wh sfp.
*CHI:   ¼Ã ¬õ ¦â.
%mor:   vt adj nn.
*INV:   ¼Ã ÷ ¬õ ¦â, Ëİ ¸ò¦í ÂI &a3 ?
%mor:   vt asp adj nn advs advs wh sfp.
*CHI:   ¸ò¦í &e6 # ¥´ &e6 ºµ¿ß &lo1.
%mor:   advs ex vt ex nn sfp.
*INV:   &m5.
%mor:   ex.
*INV:   <Ëİ ©O ´X ­Ó ©O> [=! points to other buttons] ?
%mor:   advs det wh cl sfp.
*CHI:   ©O ­Ó «Y &e3 ¦æ &ga3.
%mor:   det cl vf ex vi sfp.
*INV:   ÂI¼Ë ¦æ ªk &a3 ?
%mor:   wh vi prt sfp.
*CHI:   ­ø «Y, Ëİ¼Ë.
%mor:   neg vf advs.
*INV:   &o5, Ëİ ©O ¨â ­Ó ©O ?
%mor:   ex advs det q cl sfp.
*CHI:   ©O ­Ó ­ø ¼Ã ±o &ge3.
%mor:   det cl neg vt ctc sfp.
*INV:   ­ø ¼Ã.
%mor:   neg vt.
*CHI:   <©O ­Ó> [>] +/.
%mor:   det cl.
*INV:   <²b «Y> ¥i¥H ¼Ã ¬õ ¦â &ga4 &dza4 [<] ?
%mor:   advf vf aux vt adj nn sfp sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   Ëİ ¨ä¥L ©O ¤T ²É ©O ?
%mor:   advs advs det q cl sfp.
*CHI:   ¥i¥H ¼Ã ±o &ge3.
%mor:   aux vt ctc sfp.
*INV:   ¥i¥H ¼Ã ±o &ge3.
%mor:   aux vt ctc sfp.
*INV:   §Ú ¼Ã ­ø ¼Ã ±o &a3 ?
%mor:   nnpr vt neg vt ctc sfp.
*CHI:   0 [=! nods].
*INV:   ¼Ã ±o.
%mor:   vt ctc.
*SIS:   ¥ª ¸}.
%mor:   adj nn.
*CHI:   ¥ª ¸}.
%mor:   adj nn.
*SIS:   ½ğ ÷ &la3.
%mor:   vt asp sfp.
*SIS:   <õ ­Ó> [/] ¥Õ ¦â ­m õ ­Ó ©O, ²O ø ¤ô ¸¨ ¥h ©O, ¤§«á ©O ´N ·| ÅÜ # <ºµ¿ß> &ga3 &la3 [>].
%mor:   det cl adj nn nn det cl sfp vt cl nn dir dir sfp advs sfp advf aux vt nn sfp sfp.
*INV:   <ÅÜ ºµ¿ß> [<].
%mor:   vt nn.
*INV:   Ú» úï ¥ı.
%mor:   vt prt advf.
*SIS:   Ä¹ ÷ &ga3 &la3.
%mor:   vi asp sfp sfp.
*SIS:   <¦A ‘Á ¹L> [>].
%mor:   advf dir prt.
*INV:   <¦¨ ¤é> ³£ ¶^ §C &ge2 ÂI¸Ñ ­Ó ¤k¥J [<] ?
%mor:   q cl advf verg dir sfp wh cl nn.
*SIS:   ­ø «Y &a3, Ê\ &dza2 Ï ¤§ &ma3.
%mor:   neg vf sfp nnpr adj nn sfp sfp.
*INV:   ©O ­Ó «Y Ê\ ª± ºò &ga4 ?
%mor:   det cl vf nnpr vt asp sfp.
*SIS:   «Y &a3.
%mor:   vf sfp.
*SIS:   «u–ï, ¨« ÷ &la3.
%mor:   ex vi asp sfp.
*CHI:   &a1.
%mor:   ex.
*INV:   §A §Ö ø ¼Ã, §Ö ø ª± &la1.
%mor:   nnpr adj com vt adj com vt sfp.
*SIS:   ²O ø ¤ô ¸¨ ¥h.
%mor:   vt cl nn dir dir.
*INV:   ³Ó§Q.
%mor:   vi.
%com:   The child and her sister laugh.
*SIS:   ¦n ±o·N &ga3, ¦n ±o·N &ga3.
%mor:   advi adj sfp advi adj sfp.
*INV:   °£÷ ÅÜ ºµ¿ß ©O, ·| ­ø ·| ÅÜ ²Ä ¼Ë Ï &ga3 ?
%mor:   advs vt nn sfp aux neg aux vt det cl nn sfp.
*SIS:   úï ?
%mor:   ex.
*CHI:   ·| &a3.
%mor:   aux sfp.
*INV:   ·| ÅÜ ÉAÏ &a3 ?
%mor:   aux vt wh sfp.
*CHI:   ·| ÅÜ ºµ¿ß &lo1.
%mor:   aux vt nn sfp.
*INV:   ¥ò ¦³ ©O ?
%mor:   advf vf sfp.
*CHI:   <Ê\> [>] +/.
%mor:   nnpr.
*INV:   <°£>÷ ºµ¿ß ©O [<] ?
%mor:   advs nn sfp.
*CHI:   °£÷ ºµ¿ß ©O, ·| ¦º &ga3 &la3.
%mor:   advs nn sfp aux verg sfp sfp.
*CHI:   ·| # ¶^ ¸¨ ¤ô &ga3 &la3.
%mor:   aux verg dir nn sfp sfp.
*INV:   ¶^ ¸¨ ¤ô &a4 ?
%mor:   verg dir nn sfp.
*INV:   Ãä ­Ó ¶^ ¸¨ ¤ô &a3 ?
%mor:   wh cl verg dir nn sfp.
*INV:   §A ¶^ ¸¨ ¤ô ©w Ê\ ¶^ ¸¨ ¤ô &a3 ?
%mor:   nnpr verg dir nn conj nnpr verg dir nn sfp.
*INV:   ¤S ¦º &ge2 ?
%mor:   advf verg sfp.
*SIS:   <Ê\> &dza2 ¤§ &ma3 [>].
%mor:   nnpr adj sfp sfp.
*CHI:   <Ëİ Ê\> [<] +/.
%mor:   advs nnpr.
*CHI:   &dza2 +/.
%mor:   adj.
*SIS:   Ú», ¨« ÷ &la3.
%mor:   vt vi asp sfp.
*CHI:   &i2 -.
%mor:   ex.
*INV:   §A ª± ºò &ga4 ­ì¨Ó ?
%mor:   nnpr vt asp sfp advs.
*INV:   §Ö ø ¥´ Ê\ &la1, °µ ÉA §A ­ø ¥´ Ê\ ®A ?
%mor:   adj com vt nnpr sfp vt wh nnpr neg vt nnpr sfp.
*INV:   §A ¤S &seui1 # ¿é ÷ &la3.
%mor:   nnpr advf  xx vi asp sfp.
*SIS:   <¦nÏ> [>].
%mor:   ex.
*INV:   <&eu6 ¤@> [<].
%mor:   ex q.
*CHI:   0 [=! giggles].
*CHI:   ¦n ±o·N &a3.
%mor:   advi adj sfp.
