@Begin
@Name of CHI:          Yiu Chun-li
@Birth of CHI:         14-Jun-1989
@Sex of CHI:           Female
@Tape Location:        7
@Date:                 22-May-1992
@Time duration:        10:00-11:00
@Age of CHI:           2;11.8
@Participants:         CHI Child, INV Investigator, MOT Mother, SIS elder_sister, ANN Annie
@Situation:   At the child's home.
*INV:   §A ¹L ‘Á &a1 # &li4&li2.
%mor:   nnpr dir dir sfp nnpp.
*INV:   ª± ÉAÏ &a3 ?
%mor:   vt wh sfp.
*INV:   xxx.
*INV:   xxx ª± &a1.
%mor:   vt sfp.
%com:   The child plays with a toy piano.
*INV:   «§ ‘Á &ga3 ?
%mor:   wh sfp sfp.
*CHI:   ­ô­ô ¾ã &ga3.
%mor:   nn vt sfp.
*INV:   &m2 ?
%mor:   ex.
*CHI:   ­ô­ô Ëİ &ga3.
%mor:   nn advs sfp.
*INV:   ­ô­ô ¼u µ^ ï «§ ?
%mor:   nn vt nn sfp sfp.
%com:   The child is still playing with the piano.
*INV:   ©O ­Ó µ^ ­ô­ô &ga4 ?
%mor:   det cl nn nn sfp.
*CHI:   ¦³ # ¦³ Án &ga3.
%mor:   vf vf nn sfp.
*INV:   &m3, «Y &wo3.
%mor:   ex vf sfp.
*INV:   ¦ı ­ø ¦n Å¥ &ge2.
%mor:   advs neg adj vt sfp.
*INV:   ­ø ª± ©O ¼Ë.
%mor:   neg vt det cl.
*INV:   À½ µf Ê\.
%mor:   vd prt nnpr.
*INV:   §A µe ºò «§ &a3 ?
%mor:   nnpr vt asp wh sfp.
%exp:   The investigator talks to the child's sister.
*INV:   Hello.
*CHI:   ¦³ ¤ã Ä| &le3.
%mor:   vf vt nn ex.
*INV:   ¦³ ¤ã Ä| &a4 ?
%mor:   vf vt nn sfp.
*CHI:   &m2.
%mor:   ex.
*INV:   §Ú ÉN ¤ã Ä| &a3.
%mor:   nnpr neg vt nn sfp.
*CHI:   &m3.
%mor:   ex.
*INV:   ­Ú §Ú ®Ş úï ±o ­ø ±o &a3 ?
%mor:   prep nnpr vt sfp vt neg ctc sfp.
*SIS:   ±o.
%mor:   ctc.
*INV:   «u–ï–ï–ï.
%mor:   ex.
*INV:   Ëİ ²Ó °¦ &ge2, ÂI¼Ë ®Ş &a3 ?
%mor:   advi adj cl sfp wh vt sfp.
*INV:   Ä| +/.
%mor:   nn.
*SIS:   ¤H’] °e &ga3.
%mor:   nnpr vd sfp.
*CHI:   &a1, °e &ga3.
%mor:   ex vd sfp.
*INV:   °e &ga4 ?
%mor:   vd sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   §A µe ÷ ø ÉAÏ &a3 ?
%mor:   nnpr vt asp cl wh sfp.
*INV:   ­Ú §Ú Ú» úï.
%mor:   prep nnpr vt prt.
%com:   The investigator goes to the child.
*INV:   ÉN µe Ï &ge2 ?
%mor:   neg vt nn sfp.
*CHI:   ¦nª± &a3.
%mor:   adj sfp.
*INV:   ¹L ‘Á &e1.
%mor:   dir dir ex.
*SIS:   &m2 - .
%mor:   ex.
*INV:   ´X ÂI ªğ ¾Ç &ga3 ©j©j ?
%mor:   wh cl dir nn sfp nn.
*SIS:   ¤@ ÂI ¥b.
%mor:   q cl q.
*INV:   ¤@ ÂI ¥b &a4 ?
%mor:   q cl q sfp.
%com:   The child points to a toy on top of the piano.
*INV:   ¦³ ø ÉAÏ &a3 ?
%mor:   vf cl wh sfp.
*INV:   ü« ¸¨ ‘Á Ú» úï &a1.
%mor:   vt dir dir vt prt sfp.
%com:   The child gets up to take the toys.
*INV:   ¤p¤ß &a3, &la4.
%mor:   adj sfp ex.
%com:   The child shows the investigator the toy.
*INV:   ¦n ±o·N &wo3, «§ ‘Á &ga3 ?
%mor:   advi adj sfp wh sfp sfp.
%com:   The investigator points to the face.
*INV:   §Y«Y ÉAÏ &a3 ?
%mor:   vf wh sfp.
*INV:   ¦ù ±ø «W ¥X ‘Á &a4 Ê\, «Y «} &a3 ?
%mor:   vt cl nn dir dir sfp nnpr vf neg sfp.
*INV:   Ê\ ÂI¸Ñ ¦ù ±ø «W ¥X ‘Á §A ª¾ ­ø ª¾ &a3 ?
%mor:   nnpr wh vt cl nn dir dir nnpr vt neg vt sfp.
*INV:   &miu2 §A «Y «} &a3 ?
%mor:   vt nnpr vf neg sfp.
*INV:   Ê\ ¦² &a3.
%mor:   nnpr adj sfp.
*INV:   Ãä ­Ó &ga3 ?
%mor:   wh cl sfp.
*INV:   Ëİ è° &ge2 ?
%mor:   advi adj sfp.
*CHI:   "Auntie" °e ­Ú §Ú &ge2 ?
%mor:   nn vd prep nnpr sfp.
*INV:   °e ­Ú §A &ga4 ?
%mor:   vd prep nnpr sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ¦³ ÉN ¨ı &ga3 ?
%mor:   vf neg nn sfp.
%com:   The child smells.
*CHI:   ¦³ &a3.
%mor:   vf sfp.
*INV:   ­» ­ø ­» &a1 ?
%mor:   adj neg adj sfp.
*CHI:   ­».
%mor:   adj.
%com:   The child puts a hairband on the investigator's head.
*INV:   §A ­Ú §Ú À¹ &a4 ­Ó ÀY&ku1 ?
%mor:   nnpr prep nnpr vt sfp cl nn.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   §Ú À¹ ¦í Ê\ ¦n ÉN &a3 ?
%mor:   nnpr vt asp nnpr adj neg sfp.
*CHI:   0 [=! giggles].
*INV:   ¦n ÉN Ú» &a3 ?
%mor:   adj neg vt sfp.
*CHI:   0.
%com:   The child sings after the TV.
*CHI:   0 [=! sings].
%com:   There is a music video "¾Ç¥Í­ô" showing on the TV.
*INV:   ©O ­Ó ©j©j «Y Ãä ­Ó ‘Á &a3 ª¾ ­ø ª¾ &a3 ?
%mor:   det cl nn vf wh cl sfp sfp vt neg vt sfp.
*CHI:   è° &ga3.
%mor:   adj sfp.
*INV:   è° &ga4 ?
%mor:   adj sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*SIS:   §Ú ª¾¹D.
%mor:   nnpr vt.
*INV:   ¥s «§ ¦W &a3 ?
%mor:   vt wh nn sfp.
*SIS:   ¼B¤p¼z.
%mor:   nnpp.
*INV:   &m4.
%mor:   ex.
*CHI:   ¾Ç¥Í­ô ï.
%mor:   nnpp sfp.
*INV:   &m4, ¾Ç¥Í­ô &lo1.
%mor:   ex nnpp sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   §A ¾p ­ø ¾p ªğ ¾Ç &a1 ?
%mor:   nnpr aux neg aux dir nn sfp.
*CHI:   0.
*INV:   §A À¹ ¦í Ê\.
%mor:   nnpr vt asp nnpr.
%com:   pause.
*INV:   §A -: ÃÑ ­ø ÃÑ °Û &a3 ?
%mor:   nnpr vt neg vt vt sfp.
*CHI:   0 [=! sings].
*INV:   ÃÑ ­ø ÃÑ °Û &a3 ?
%mor:   vt neg vt vt sfp.
*CHI:   0 [=! hums].
*INV:   &m2, ÃÑ ­ø ÃÑ &a3 ?
%mor:   ex vt neg vt sfp.
*CHI:   0.
*INV:   ¯»¬õ ¦â &gu3 &wo3, ¦P §A ±ø ÓÑ «Y «} ¤@¼Ë ÃC¦â &a3 ?
%mor:   adj nn sfp sfp prep nnpr cl nn vf neg adj nn sfp.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   ©j©j ©O ?
%mor:   nn sfp.
*INV:   ¦ü ­ø ¦ü &a3 ?
%mor:   vt neg vt sfp.
*INV:   ©j©j «§ ¦â &ga3 ?
%mor:   nn wh nn sfp.
*CHI:   ÂÅ ¦â ï.
%mor:   adj nn sfp.
*INV:   ¶À ¦â.
%mor:   adj nn.
*INV:   ©O ­Ó ¥ı «Y ÂÅ ¦â &a1 &ma3, <«Y «} &a3> [>] ?
%mor:   det cl advf vf adj nn sfp sfp vf neg sfp.
*CHI:   <«Y &a3> [<].
%mor:   vf sfp.
*INV:   &u3, <°Û §¹> [>] &lu3.
%mor:   ex vt advm sfp.
*CHI:   <«Y &a3> [<].
%mor:   vf sfp.
*CHI:   ¥¼ °µ §¹ &a3.
%mor:   neg vt advm sfp.
*INV:   °Û §¹ &lu3 ¦ı«Y.
%mor:   vt advm sfp advs.
*CHI:   ¥¼ °Û +/.
%mor:   neg vt.
*INV:   ¥¼ °µ §¹ ¶Ç¯u¾÷ ¦ı«Y °Û §¹ ­º ºq &lo1.
%mor:   neg vt advm nnpp advs vt advm cl nn sfp.
%com:   pause.
*INV:   éö, éö §A °¦ ¸} ¦n ÉN &a3 ?
%mor:   vt vt nnpr cl nn adj neg sfp.
%com:   pause.
*CHI:   &gu1, &a1, &sa1 # ©O ø &ga3.
%mor:   ex sfp ex det cl sfp.
*INV:   «§ &wa2 ?
%mor:   wh sfp.
*INV:   §A ¹L ‘Á, ­Ú §Ú Ú» úï, ­Ú §Ú Ú» úï ¥ı &a1.
%mor:   nnpr dir dir prep nnpr vt prt prep nnpr vt prt advf sfp.
*INV:   ÀY¥ı ¦³ ÉAÏ &a3 ?
%mor:   advs vf wh sfp.
*INV:   ¦n ÉN Å¥ &a3 ­º ºq ?
%mor:   adj neg vt sfp cl nn.
*CHI:   xxx.
*INV:   ÉAÏ &a3 ?
%mor:   wh sfp.
*SIS:   ³Ş!
%mor:   ex.
*INV:   ³Ş, Å¥ úï ­º ºq, Å¥ úï ºq¥J &a1.
%mor:   ex vt prt cl nn vt prt nn sfp.
*INV:   §A «Y Ãä ­Ó &a3 ?
%mor:   nnpr vf wh cl sfp.
*CHI:   0.
*INV:   §A ­ø Åå «§ ?
%mor:   nnpr neg vt sfp.
*INV:   ¦³ °¦ ¯QÃÇ &wo3.
%mor:   vf cl nn sfp.
*CHI:   ­ø «Y &a3.
%mor:   neg vf sfp.
*INV:   «§ ‘Á &ga3 ?
%mor:   wh sfp sfp.
*INV:   ­ø «Y ¯QÃÇ «Y ÉAÏ &a3 ?
%mor:   neg vf nn vf wh sfp.
*CHI:   İ© ÷ Ê\ &a3.
%mor:   vt asp nnpr sfp.
*INV:   İ© ÷ Ê\ - ?
%mor:   vt asp nnpr.
*CHI:   «Y &a3.
%mor:   vf sfp.
*INV:   İ© ÷ Ãä«× &a3 ?
%mor:   vt asp wh sfp.
*INV:   Ãä«× ¦³ ±o İ© &a3 ?
%mor:   wh vf ctc vt sfp.
*INV:   ÉN Ï İ© &aak3.
%mor:   neg nn vt sfp.
*CHI:   ¦³, ©O «× &a3.
%mor:   vf det cl sfp.
*INV:   ©O «× - ?
%mor:   det cl.
*INV:   ©O «× ­ø İ© ±o &ga3.
%mor:   det cl neg vt ctc sfp.
*INV:   ¹ê &ga3.
%mor:   adj sfp.
*INV:   øu ¹ê &ga3, ÉN ±o İ© &ga3.
%mor:   vt adj sfp neg ctc vt sfp.
*CHI:   Äê ÷ &a3.
%mor:   verg asp sfp.
*INV:   ­ø «Y, ¤H’] ­Ó ­^¤å¦r ‘Á &ga3 ©O ­Ó.
%mor:   neg vf nnpr cl nn sfp sfp det cl.
*INV:   Ê\ ­^¤å¦r ‘Á &ga3.
%mor:   nnpr nn sfp sfp.
*CHI:   &o3.
%mor:   ex.
*INV:   ­Ó ¦W ‘Á &ga3.
